spectogram,mfcc,transcript,phishing
./phishing_spectogram/10_spectrogram.png,./phishing_mfcc/10_mfcc.png,"Due to security concerns, Zenra Bank needs to confirm your account details. Please follow the link now.",1
./phishing_spectogram/11_spectrogram.png,./phishing_mfcc/11_mfcc.png,Verify your identity to complete your pending Xenra transaction. Failure to do so will cancel your payment.,1
./phishing_spectogram/12_spectrogram.png,./phishing_mfcc/12_mfcc.png,"Urgent, your Zenra online banking has been suspended. Restore it now by clicking here.",1
./phishing_spectogram/13_spectrogram.png,./phishing_mfcc/13_mfcc.png,A large sum of money was transferred from your Zenra account. Click here to secure your funds.,1
./phishing_spectogram/14_spectrogram.png,./phishing_mfcc/14_mfcc.png,Suspicious activity on your Zenra account. Confirm your identity now to protect your balance.,1
./phishing_spectogram/15_spectrogram.png,./phishing_mfcc/15_mfcc.png,Your Xenra account has been flagged for unusual transactions. Provide your details to resolve this issue.,1
./phishing_spectogram/16_spectrogram.png,./phishing_mfcc/16_mfcc.png,Your Zenra credit card is being used abroad. Please verify this transaction by clicking here.,1
./phishing_spectogram/17_spectrogram.png,./phishing_mfcc/17_mfcc.png,Your Zenra loan application is incomplete. Provide your information now to get approval.,1
./phishing_spectogram/18_spectrogram.png,./phishing_mfcc/18_mfcc.png,Unauthorized login detected on your Zenra account. Verify your identity now to restore your account.,1
./phishing_spectogram/19_spectrogram.png,./phishing_mfcc/19_mfcc.png,"Your Xenra account is scheduled for closure. To stop this, update your security information immediately.",1
./phishing_spectogram/1_spectrogram.png,./phishing_mfcc/1_mfcc.png,Your Xenra account has been temporarily frozen due to suspicious activity. Please provide your account details to unlock it immediately.,1
./phishing_spectogram/20_spectrogram.png,./phishing_mfcc/20_mfcc.png,Action required. Secure your Xenra account by confirming your personal details.,1
./phishing_spectogram/21_spectrogram.png,./phishing_mfcc/21_mfcc.png,We've detected unauthorized access to your Zenra account. Verify your details to secure it now.,1
./phishing_spectogram/22_spectrogram.png,./phishing_mfcc/22_mfcc.png,Claim your free credit report from Zenra now. Simply verify your bank account details.,1
./phishing_spectogram/23_spectrogram.png,./phishing_mfcc/23_mfcc.png,Your Zenra debit card is blocked. Reactivate it by providing your account details.,1
./phishing_spectogram/24_spectrogram.png,./phishing_mfcc/24_mfcc.png,Your Xenra account password is about to expire. Click here to reset it now.,1
./phishing_spectogram/25_spectrogram.png,./phishing_mfcc/25_mfcc.png,You have an overdue Xenra payment. Click here to avoid a late fee.,1
./phishing_spectogram/26_spectrogram.png,./phishing_mfcc/26_mfcc.png,Security update required. Verify your ZenRa account to prevent suspension.,1
./phishing_spectogram/27_spectrogram.png,./phishing_mfcc/27_mfcc.png,Unusual activity detected on your Zenra savings account. Click here to secure it.,1
./phishing_spectogram/28_spectrogram.png,./phishing_mfcc/28_mfcc.png,Your Xenra monthly statement is ready. Please verify your email address to access it.,1
./phishing_spectogram/29_spectrogram.png,./phishing_mfcc/29_mfcc.png,We've noticed suspicious behavior on your ZenRa account. Follow this link to resolve the issue.,1
./phishing_spectogram/2_spectrogram.png,./phishing_mfcc/2_mfcc.png,This is an urgent notice from Zenra Bank. Your account has been compromised. Click here to restore access.,1
./phishing_spectogram/30_spectrogram.png,./phishing_mfcc/30_mfcc.png,Your Zenra account has been flagged for review. Please confirm your details to avoid restrictions.,1
./phishing_spectogram/31_spectrogram.png,./phishing_mfcc/31_mfcc.png,"Immediate action required, verify your identity with Zenra to avoid permanent account suspension.",1
./phishing_spectogram/32_spectrogram.png,./phishing_mfcc/32_mfcc.png,Your Zenra Online Banking has been restricted. Click here to restore full access.,1
./phishing_spectogram/33_spectrogram.png,./phishing_mfcc/33_mfcc.png,"Security alert, your Zenra Bank details have been compromised. Click here to fix the issue.",1
./phishing_spectogram/34_spectrogram.png,./phishing_mfcc/34_mfcc.png,Unplanned refund available from Zenra. Click here to receive your refund now.,1
./phishing_spectogram/35_spectrogram.png,./phishing_mfcc/35_mfcc.png,Confirm your ZenRA account now to avoid suspension.,1
./phishing_spectogram/36_spectrogram.png,./phishing_mfcc/36_mfcc.png,Zenra account security compromised. Verify your personal details immediately.,1
./phishing_spectogram/37_spectrogram.png,./phishing_mfcc/37_mfcc.png,Your Zenra credit limit has been increased. Confirm your account to accept.,1
./phishing_spectogram/38_spectrogram.png,./phishing_mfcc/38_mfcc.png,Your ZenRa account is under review. Click here to secure your funds.,1
./phishing_spectogram/39_spectrogram.png,./phishing_mfcc/39_mfcc.png,Unauthorized withdrawal detected from your Zenra account. Confirm your identity to stop this transaction.,1
./phishing_spectogram/3_spectrogram.png,./phishing_mfcc/3_mfcc.png,Unusual login attempt detected on your Zenra account. Verify your identity now to avoid being locked out.,1
./phishing_spectogram/40_spectrogram.png,./phishing_mfcc/40_mfcc.png,Your Xenra account has been flagged. Confirm your details to lift the restriction.,1
./phishing_spectogram/41_spectrogram.png,./phishing_mfcc/41_mfcc.png,"Department of Social Security Administration, how can I help you today? Yeah, that's great. Sure, I can help you. But can you just verify with your first and your last name? I'm sorry?",1
./phishing_spectogram/42_spectrogram.png,./phishing_mfcc/42_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/43_spectrogram.png,./phishing_mfcc/43_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/44_spectrogram.png,./phishing_mfcc/44_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/45_spectrogram.png,./phishing_mfcc/45_mfcc.png,"Social Security Administration, who can help you?",1
./phishing_spectogram/46_spectrogram.png,./phishing_mfcc/46_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/47_spectrogram.png,./phishing_mfcc/47_mfcc.png,Thank you for calling Social Security. How can I help you?,1
./phishing_spectogram/48_spectrogram.png,./phishing_mfcc/48_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/49_spectrogram.png,./phishing_mfcc/49_mfcc.png,"Thank you. Social Security Administration, how can I help you?",1
./phishing_spectogram/4_spectrogram.png,./phishing_mfcc/4_mfcc.png,We've noticed suspicious activity on your Xenra account. Click this link to secure your account now.,1
./phishing_spectogram/50_spectrogram.png,./phishing_mfcc/50_mfcc.png,"Social Security Administration, how can I help you? Hello?",1
./phishing_spectogram/51_spectrogram.png,./phishing_mfcc/51_mfcc.png,"You have reached the Department of Social Security Administration, how can I help you?",1
./phishing_spectogram/52_spectrogram.png,./phishing_mfcc/52_mfcc.png,"Department of Social Security Administration, how can I help you?",1
./phishing_spectogram/53_spectrogram.png,./phishing_mfcc/53_mfcc.png,"Social Security Administration, how can I help you?",1
./phishing_spectogram/54_spectrogram.png,./phishing_mfcc/54_mfcc.png,"You have reached the Department of Social Security Administration, so can I help you?",1
./phishing_spectogram/55_spectrogram.png,./phishing_mfcc/55_mfcc.png,"You have reached the Social Security Administration. How can I help you? Alright, can you help me with the first and the last name?",1
